GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mentorpath,ma.ensias.mentorpath.message.service,MessageServiceImpl,5,183,0,0,0,53,1,11,1,11
mentorpath,ma.ensias.mentorpath.rating.controller,RatingController,0,22,0,0,0,4,0,2,0,2
mentorpath,ma.ensias.mentorpath.rating.service,RatingServiceImpl,0,97,0,0,0,25,0,6,0,6
mentorpath,ma.ensias.mentorpath.mentor.service,MentorSearchServiceImpl,0,48,0,0,0,16,0,2,0,2
mentorpath,ma.ensias.mentorpath.security,JwtUtil,64,0,0,0,20,0,7,0,7,0
mentorpath,ma.ensias.mentorpath.security,UserDetailsServiceImpl,39,0,0,0,11,0,2,0,2,0
mentorpath,ma.ensias.mentorpath.security,JwtFilter,60,0,8,0,18,0,5,0,1,0
mentorpath,ma.ensias.mentorpath.session.service,SessionServiceImpl,0,198,0,4,0,45,0,14,0,12
mentorpath,ma.ensias.mentorpath.config,SwaggerConfig,48,0,0,0,17,0,2,0,2,0
mentorpath,ma.ensias.mentorpath.config,SecurityConfig,46,24,0,0,12,7,5,1,5,1
mentorpath,ma.ensias.mentorpath.auth.controller,AuthController,22,0,0,0,6,0,2,0,2,0
mentorpath,ma.ensias.mentorpath.auth.service.impl,AuthServiceImpl,0,146,1,4,0,34,1,5,0,3
mentorpath,ma.ensias.mentorpath.common,ApiResponse,14,7,0,0,2,1,2,1,2,1
mentorpath,ma.ensias.mentorpath.exception,GlobalExceptionHandler,62,3,2,0,18,1,6,1,5,1
mentorpath,ma.ensias.mentorpath.exception,ResourceNotFoundException,7,4,0,0,2,2,1,1,1,1
mentorpath,ma.ensias.mentorpath.exception,EmailAlreadyUsedException,0,5,0,0,0,2,0,1,0,1
mentorpath,ma.ensias.mentorpath.user.controller,UserController,23,0,0,0,4,0,2,0,2,0
mentorpath,ma.ensias.mentorpath.user.service.impl,UserServiceImpl,99,239,16,18,7,54,21,8,5,6
mentorpath,ma.ensias.mentorpath.mentor.controller,MentorSearchController,0,12,0,0,0,3,0,1,0,1
mentorpath,ma.ensias.mentorpath,MentorPathApplication,5,3,0,0,2,1,1,1,1,1
mentorpath,ma.ensias.mentorpath.session.entity,SessionStatus,0,34,0,0,0,4,0,1,0,1
mentorpath,ma.ensias.mentorpath.session.controller,SessionController,0,58,0,0,0,10,0,5,0,5
mentorpath,ma.ensias.mentorpath.user.entity,Role,0,34,0,0,0,4,0,1,0,1
mentorpath,ma.ensias.mentorpath.roadmap.service,RoadmapServiceImpl,5,322,0,8,0,74,1,23,1,19
mentorpath,ma.ensias.mentorpath.roadmap.controller,RoadmapController,0,80,0,0,0,14,0,7,0,7
mentorpath,ma.ensias.mentorpath.user.mapper,UserMapperImpl,175,0,28,0,61,0,21,0,7,0
mentorpath,ma.ensias.mentorpath.message.controller,MessageController,0,48,0,0,0,12,0,4,0,4
